Trial,Deck Choice,Reward,Penalty,Net Reward,Total Score,Reaction Time (s),Start Time
1,3,50,0,50,2050,3.500932,17:39:46:596684
2,2,100,0,100,2150,1.966875,17:39:52:609808
3,2,100,0,100,2250,0.777582,17:39:57:086350
4,1,100,0,100,2350,0.644502,17:40:00:372636
5,2,100,0,100,2450,1.741894,17:40:03:526780
6,3,50,0,50,2500,0.397789,17:40:07:777298
7,1,100,0,100,2600,1.319431,17:40:10:682393
8,2,100,0,100,2700,0.594519,17:40:14:508154
9,2,100,0,100,2800,0.44769,17:40:17:610682
10,4,50,0,50,2850,0.47592,17:40:20:570612
11,2,100,0,100,2950,0.65471,17:40:23:555713
12,3,50,50,0,2950,0.945579,17:40:26:719084
13,2,100,0,100,3050,0.431788,17:40:30:175772
14,1,100,150,-50,3000,1.309896,17:40:33:116209
15,2,100,0,100,3100,0.74541,17:40:36:933806
16,2,100,1250,-1150,1950,0.655376,17:40:40:187547
17,2,100,0,100,2050,1.238791,17:40:43:351770
18,4,50,0,50,2100,0.425564,17:40:47:098806
19,4,50,0,50,2150,0.973486,17:40:50:031808
20,1,100,0,100,2250,0.351756,17:40:53:514583
21,3,50,0,50,2300,1.763533,17:40:56:377764
22,3,50,50,0,2300,0.723978,17:41:00:650719
23,2,100,0,100,2400,0.691742,17:41:03:884701
24,4,50,0,50,2450,0.829929,17:41:07:084421
25,4,50,0,50,2500,0.534967,17:41:10:421158
26,2,100,0,100,2600,0.42924,17:41:13:465253
27,3,50,0,50,2650,0.747082,17:41:16:400375
28,4,50,0,50,2700,1.365235,17:41:19:657466
29,1,100,300,-200,2500,0.778398,17:41:23:533769
30,3,50,50,0,2500,0.703631,17:41:26:823403
31,2,100,0,100,2600,0.340652,17:41:30:034604
32,4,50,0,50,2650,0.773333,17:41:32:882734
33,2,100,1250,-1150,1500,0.371965,17:41:36:163888
34,4,50,0,50,1550,1.130339,17:41:39:043142
35,4,50,0,50,1600,1.371069,17:41:42:681832
36,2,100,0,100,1700,0.707131,17:41:46:560203
37,3,50,0,50,1750,0.291979,17:41:49:775574
38,1,100,0,100,1850,0.494508,17:41:52:576044
39,1,100,200,-100,1750,0.390237,17:41:55:578740
40,3,50,50,0,1750,0.293095,17:41:58:478917
41,4,50,250,-200,1550,0.302331,17:42:01:278629
42,2,100,0,100,1650,0.384291,17:42:04:090229
43,2,100,0,100,1750,0.361639,17:42:06:981108
44,1,100,0,100,1850,0.335504,17:42:09:848375
45,2,100,0,100,1950,0.256657,17:42:12:693541
46,2,100,0,100,2050,0.833653,17:42:15:457380
47,1,100,250,-150,1900,0.460835,17:42:18:800268
48,4,50,0,50,1950,0.250129,17:42:21:770026
49,4,50,0,50,2000,0.261411,17:42:24:527505
50,2,100,0,100,2100,0.458965,17:42:27:295670
51,4,50,0,50,2150,0.45546,17:42:30:260754
52,1,100,350,-250,1900,0.695017,17:42:33:222931
53,4,50,0,50,1950,0.443124,17:42:36:428285
54,4,50,0,50,2000,0.296286,17:42:39:378804
55,4,50,0,50,2050,0.655977,17:42:42:182280
56,4,50,0,50,2100,0.295773,17:42:45:345482
57,4,50,0,50,2150,0.376213,17:42:48:148968
58,4,50,0,50,2200,0.418835,17:42:51:031126
59,4,50,250,-200,2000,0.32895,17:42:53:958561
60,2,100,1250,-1150,850,0.64647,17:42:56:796406
61,2,100,0,100,950,0.605212,17:42:59:951915
62,3,50,50,0,950,0.274992,17:43:03:065492
63,1,100,0,100,1050,0.459723,17:43:05:850418
64,4,50,0,50,1100,0.392207,17:43:08:817166
65,2,100,0,100,1200,0.323067,17:43:11:717037
66,3,50,0,50,1250,0.19378,17:43:14:550076
67,2,100,0,100,1350,0.469405,17:43:17:253446
68,3,50,25,25,1375,0.238951,17:43:20:228928
69,4,50,0,50,1425,0.531356,17:43:22:977207
70,2,100,0,100,1525,0.317053,17:43:26:015804
71,1,100,350,-250,1275,0.715088,17:43:28:843391
72,3,50,75,-25,1250,0.259318,17:43:32:067320
73,4,50,0,50,1300,0.341264,17:43:34:836322
74,2,100,0,100,1400,0.286405,17:43:37:686354
75,3,50,0,50,1450,0.288985,17:43:40:480124
76,3,50,0,50,1500,0.257905,17:43:43:278835
77,2,100,0,100,1600,0.307144,17:43:46:048414
78,4,50,0,50,1650,0.245983,17:43:48:865736
79,2,100,0,100,1750,0.305465,17:43:51:619651
80,3,50,0,50,1800,0.609282,17:43:54:435157
81,4,50,0,50,1850,0.337273,17:43:57:554948
82,2,100,0,100,1950,0.397789,17:44:00:402118
83,2,100,0,100,2050,0.330111,17:44:03:308539
84,3,50,25,25,2075,0.275786,17:44:06:146318
85,1,100,0,100,2175,0.362237,17:44:08:931788
86,1,100,250,-150,2025,0.317723,17:44:11:803301
87,2,100,0,100,2125,0.241395,17:44:14:632720
88,4,50,0,50,2175,0.238383,17:44:17:383900
89,2,100,1250,-1150,1025,0.278985,17:44:20:130928
90,4,50,0,50,1075,0.307132,17:44:22:918704
91,3,50,75,-25,1050,0.490572,17:44:25:734753
92,2,100,0,100,1150,0.271118,17:44:28:732811
93,4,50,0,50,1200,0.105828,17:44:31:516959
94,2,100,0,100,1300,0.174028,17:44:34:128992
95,2,100,0,100,1400,0.251066,17:44:36:811043
96,2,100,0,100,1500,0.367675,17:44:39:572357
97,2,100,0,100,1600,0.326079,17:44:42:449642
98,2,100,0,100,1700,0.337229,17:44:45:287584
99,2,100,0,100,1800,0.210109,17:44:48:134586
100,2,100,0,100,1900,0.085825,17:44:50:854090
