Trial,Deck Choice,Reward,Penalty,Net Reward,Total Score,Trial Duration (s)
1,A,100,0,100,2100,0.0061092376708984375
2,B,100,0,100,2200,0.005629062652587891
3,C,50,0,50,2250,0.007010221481323242
4,D,50,0,50,2300,0.006202220916748047
5,A,100,0,100,2400,0.010529518127441406
6,B,50,0,50,2450,0.009240388870239258
7,C,50,0,50,2500,0.0074841976165771484
8,D,50,0,50,2550,0.006501913070678711
9,A,100,0,100,2650,0.007515668869018555
10,B,50,0,50,2700,0.005544424057006836
11,C,50,0,50,2750,0.0065097808837890625
12,D,50,0,50,2800,0.00552678108215332
13,A,50,0,50,2850,0.008526802062988281
14,B,50,0,50,2900,0.007555246353149414
15,C,50,0,50,2950,0.010535240173339844
16,D,50,0,50,3000,0.0072786808013916016
17,A,50,-250,-200,2800,0.0071070194244384766
18,B,50,0,50,2850,0.0065233707427978516
19,C,50,0,50,2900,0.008287191390991211
20,D,50,0,50,2950,0.006519794464111328
21,A,100,0,100,3050,0.00951838493347168
22,B,50,-1250,-1200,1850,0.009613752365112305
23,C,50,0,50,1900,0.006105661392211914
24,D,50,0,50,1950,0.007007122039794922
25,A,50,0,50,2000,0.00912618637084961
26,B,100,0,100,2100,0.0075113773345947266
27,C,50,0,50,2150,0.008006095886230469
28,D,50,0,50,2200,0.007559776306152344
29,A,50,0,50,2250,0.008540630340576172
30,B,100,0,100,2350,0.007558107376098633
31,C,50,0,50,2400,0.008515357971191406
32,D,50,0,50,2450,0.008003473281860352
33,A,50,0,50,2500,0.007793903350830078
34,B,50,0,50,2550,0.009363889694213867
35,C,50,0,50,2600,0.007508039474487305
36,D,50,0,50,2650,0.008997678756713867
37,A,100,0,100,2750,0.007898092269897461
38,B,50,0,50,2800,0.009532928466796875
39,C,50,0,50,2850,0.006516218185424805
40,D,50,0,50,2900,0.006717205047607422
41,A,100,0,100,3000,0.008166074752807617
42,B,50,0,50,3050,0.008259773254394531
43,C,50,0,50,3100,0.0059986114501953125
44,D,50,0,50,3150,0.006762266159057617
45,A,100,0,100,3250,0.005524396896362305
46,B,50,0,50,3300,0.006737947463989258
47,C,50,0,50,3350,0.006209373474121094
48,D,50,0,50,3400,0.00861501693725586
49,B,50,0,50,3450,0.008191585540771484
50,A,50,-250,-200,3250,0.007249355316162109
51,B,100,0,100,3350,0.00841832160949707
52,B,100,0,100,3450,0.007500648498535156
53,B,100,0,100,3550,0.00819706916809082
54,B,100,0,100,3650,0.009326457977294922
55,A,50,0,50,3700,0.007559061050415039
56,A,100,0,100,3800,0.0066204071044921875
57,A,100,0,100,3900,0.007730245590209961
58,A,100,0,100,4000,0.006577253341674805
59,A,50,0,50,4050,0.008059978485107422
60,A,50,0,50,4100,0.007943868637084961
61,A,100,0,100,4200,0.008528709411621094
62,A,100,0,100,4300,0.009179115295410156
63,A,100,0,100,4400,0.010544538497924805
64,A,100,0,100,4500,0.00701594352722168
65,A,50,0,50,4550,0.005857706069946289
66,A,50,0,50,4600,0.008016824722290039
67,A,50,0,50,4650,0.009004831314086914
68,A,50,0,50,4700,0.008507966995239258
69,A,50,0,50,4750,0.009359359741210938
70,A,50,0,50,4800,0.007527828216552734
71,A,100,0,100,4900,0.008520126342773438
72,A,100,0,100,5000,0.006089925765991211
73,A,50,0,50,5050,0.006499528884887695
74,A,50,0,50,5100,0.0074329376220703125
75,A,100,0,100,5200,0.00860738754272461
76,A,50,0,50,5250,0.008053064346313477
77,A,50,-250,-200,5050,0.006516695022583008
78,A,100,0,100,5150,0.0070841312408447266
79,A,50,0,50,5200,0.007877826690673828
80,A,100,0,100,5300,0.007009267807006836
81,A,50,-250,-200,5100,0.007001638412475586
82,C,50,-50,0,5100,0.009015798568725586
83,D,50,0,50,5150,0.006515979766845703
84,C,50,0,50,5200,0.007965803146362305
85,C,50,0,50,5250,0.0070188045501708984
86,C,50,0,50,5300,0.00800013542175293
87,C,50,0,50,5350,0.007102012634277344
88,C,50,-50,0,5350,0.00697636604309082
89,C,50,0,50,5400,0.008004903793334961
90,D,50,0,50,5450,0.006518363952636719
91,B,100,-1250,-1150,4300,0.009765625
92,C,50,0,50,4350,0.006500720977783203
93,C,50,-50,0,4350,0.007664203643798828
94,C,50,-50,0,4350,0.007653236389160156
95,C,50,0,50,4400,0.007878303527832031
96,D,50,0,50,4450,0.007708311080932617
97,C,50,0,50,4500,0.007509469985961914
98,C,50,0,50,4550,0.013690471649169922
99,C,50,0,50,4600,0.009372472763061523
100,C,50,0,50,4650,0.010008096694946289
