Trial,Deck Choice,Reward,Penalty,Net Reward,Total Score,Trial Duration (s),Start Time
1,1,100,0,100,2100,0.006149768829345703,21:35:01
2,2,100,0,100,2200,0.005522012710571289,21:35:04
3,4,50,0,50,2250,0.0059947967529296875,21:35:07
4,4,50,0,50,2300,0.005012035369873047,21:35:09
5,3,50,0,50,2350,0.006506443023681641,21:35:13
6,3,50,0,50,2400,0.005733966827392578,21:35:15
7,2,100,0,100,2500,0.005808830261230469,21:35:23
8,2,100,0,100,2600,0.005610942840576172,21:35:32
9,2,100,0,100,2700,0.0050508975982666016,21:35:37
10,3,50,50,0,2700,0.005504608154296875,21:35:40
11,3,50,0,50,2750,0.005728483200073242,21:35:43
12,2,100,0,100,2850,0.0055010318756103516,21:35:46
13,2,100,0,100,2950,0.00557255744934082,21:35:48
14,2,100,0,100,3050,0.0049190521240234375,21:35:51
15,4,50,0,50,3100,0.015033721923828125,21:35:53
16,1,100,0,100,3200,0.005747556686401367,21:35:56
17,3,50,50,0,3200,0.0050334930419921875,21:35:59
18,2,100,0,100,3300,0.0056149959564208984,21:36:01
19,2,100,1250,-1150,2150,0.00567626953125,21:36:04
20,3,50,0,50,2200,0.006517648696899414,21:36:09
21,3,50,50,0,2200,0.00500178337097168,21:36:12
22,2,100,0,100,2300,0.005068778991699219,21:36:15
23,2,100,0,100,2400,0.006223201751708984,21:36:18
24,2,100,0,100,2500,0.005972385406494141,21:36:21
25,1,100,150,-50,2450,0.00575566291809082,21:36:24
26,2,100,0,100,2550,0.005002260208129883,21:36:27
27,2,100,1250,-1150,1400,0.007019519805908203,21:36:30
28,3,50,0,50,1450,0.005007028579711914,21:36:32
29,4,50,0,50,1500,0.015087127685546875,21:36:35
30,4,50,0,50,1550,0.016238927841186523,21:36:37
31,3,50,50,0,1550,0.005689382553100586,21:36:40
32,2,100,0,100,1650,0.005505800247192383,21:36:43
33,1,100,0,100,1750,0.01599431037902832,21:36:45
34,3,50,50,0,1750,0.005809783935546875,21:36:48
35,2,100,0,100,1850,0.00509190559387207,21:36:51
36,2,100,0,100,1950,0.004906177520751953,21:36:53
37,2,100,0,100,2050,0.006612062454223633,21:36:56
38,2,100,0,100,2150,0.0059621334075927734,21:36:59
39,2,100,0,100,2250,0.006075382232666016,21:37:07
40,2,100,1250,-1150,1100,0.005073070526123047,21:37:10
41,1,100,300,-200,900,0.0059735774993896484,21:37:13
42,3,50,0,50,950,0.004984378814697266,21:37:16
43,4,50,0,50,1000,0.006506681442260742,21:37:19
44,4,50,0,50,1050,0.007508039474487305,21:37:23
45,4,50,0,50,1100,0.00657200813293457,21:37:26
46,3,50,25,25,1125,0.006959676742553711,21:37:29
47,4,50,0,50,1175,0.005510568618774414,21:37:31
48,4,50,250,-200,975,0.006080150604248047,21:37:34
49,3,50,75,-25,950,0.005830526351928711,21:37:37
50,1,100,0,100,1050,0.005568027496337891,21:37:40
51,1,100,200,-100,950,0.016375064849853516,21:37:42
52,2,100,0,100,1050,0.004990339279174805,21:37:46
53,3,50,0,50,1100,0.005589008331298828,21:37:49
54,3,50,0,50,1150,0.005691051483154297,21:37:52
55,3,50,0,50,1200,0.0050830841064453125,21:37:55
56,3,50,25,25,1225,0.00499272346496582,21:37:58
57,3,50,75,-25,1200,0.004982471466064453,21:38:01
58,4,50,0,50,1250,0.00757598876953125,21:38:04
59,4,50,0,50,1300,0.006792545318603516,21:38:07
60,2,100,0,100,1400,0.00476384162902832,21:38:09
61,2,100,0,100,1500,0.005590677261352539,21:38:12
62,2,100,0,100,1600,0.01562356948852539,21:38:15
63,4,50,0,50,1650,0.008074522018432617,21:38:17
64,1,100,0,100,1750,0.0162808895111084,21:38:20
65,1,100,250,-150,1600,0.005630016326904297,21:38:26
66,2,100,0,100,1700,0.006104469299316406,21:38:30
67,1,100,350,-250,1450,0.005564451217651367,21:38:32
68,2,100,0,100,1550,0.006544589996337891,21:38:36
69,3,50,0,50,1600,0.005588531494140625,21:38:39
70,2,100,0,100,1700,0.0060002803802490234,21:38:41
71,4,50,0,50,1750,0.004909515380859375,21:38:44
72,2,100,0,100,1850,0.005501270294189453,21:38:47
73,4,50,0,50,1900,0.0066204071044921875,21:38:50
74,4,50,0,50,1950,0.005629062652587891,21:38:54
75,2,100,0,100,2050,0.006008148193359375,21:38:57
76,2,100,0,100,2150,0.005658149719238281,21:39:00
77,4,50,0,50,2200,0.006096839904785156,21:39:03
78,2,100,1250,-1150,1050,0.005651235580444336,21:39:06
79,2,100,0,100,1150,0.005510807037353516,21:39:10
80,2,100,0,100,1250,0.0058901309967041016,21:39:13
81,2,100,0,100,1350,0.006012916564941406,21:39:16
82,2,100,0,100,1450,0.005700588226318359,21:39:19
83,4,50,0,50,1500,0.005510568618774414,21:39:22
84,4,50,0,50,1550,0.006518363952636719,21:39:25
